Conference,Team,Week 0 (August 23),Week 1 (Aug 28-Sept 1),Week 2 (Sept 5-6),Week 3 (Sept 11-13),Week 4 (Sept 18-20),Week 5 (Sept 25-27),Week 6 (Oct 2-4),Week 7 (Oct 8-11),Week 8 (Oct 14-18),Week 9 (Oct 21-25),Week 10 (Oct 28-Nov 1),Week 11 (Nov 4-8),Week 12 (Nov 11-15),Week 13 (Nov 18-22),Week 14 (Nov 25-29),Week 15 (Dec 5-6),Week 16 (Dec 13),Playoffs,
ACC,Syracuse,BYE,vs Tennessee,UConn,Colgate,@ Clemson,Duke,@ SMU,BYE,Pitt,@ Georgia Tech,North Carolina,@ Miami (FL),BYE,@ Notre Dame,Boston College,,,,
ACC,Virginia,BYE,Coastal Carolina,@ NC State,William & Mary,Stanford,Florida State,@ Louisville,BYE,Washington State,@ North Carolina,@ Cal,Wake Forest,@ Duke,BYE,Virginia Tech,,,,
ACC,Virginia Tech,BYE,vs South Carolina,Vanderbilt,Old Dominion,Wofford,@ NC State,Wake Forest,@ Georgia Tech,BYE,Cal,Louisville,BYE,@ Florida State,Miami (FL),@ Virginia,,,,
ACC,Wake Forest,BYE,Kennesaw State,Western Carolina,NC State,BYE,Georgia Tech,@ Virginia Tech,@ Oregon State,BYE,SMU,@ Florida State,@ Virginia,North Carolina,Delaware,@ Duke,,,,
Big 12,Arizona,BYE,Hawaii,Weber State,Kansas State,BYE,@ Iowa State,Oklahoma State,BYU,@ Houston,BYE,@ Colorado,Kansas,@ Cincinnati,Baylor,@ Arizona State,"Big 12 Championship Game          12pm ET ABC                   Dallas, TX",,,
Big 12,Arizona State,BYE,Northern Arizona,@ Mississippi State,Texas State,@ Baylor,TCU,BYE,@ Utah,Texas Tech,Houston,@ Iowa State,BYE,West Virginia,@ Colorado,Arizona,,,,
Big 12,Baylor,BYE,Auburn,@ SMU,Samford,Arizona State,@ Oklahoma State,Kansas State,BYE,@ TCU,@ Cincinnati,UCF,BYE,Utah,@ Arizona,Houston,,,,
Big 12,BYU,BYE,Portland State,Stanford,BYE,@ East Carolina,@ Colorado,West Virginia,@ Arizona,Utah,@ Iowa State,BYE,@ Texas Tech,TCU,@ Cincinnati,UCF,,,,
Big 12,Cincinnati,BYE,vs Nebraska,Bowling Green,Northwestern State,BYE,@ Kansas,Iowa State,UCF,@ Oklahoma State,Baylor,@ Utah,BYE,Arizona,BYU,@ TCU,,,,
Big 12,Colorado,BYE,Georgia Tech,Delaware,@ Houston,Wyoming,BYU,@ TCU,Iowa State,BYE,@ Utah,Arizona,@ West Virginia,BYE,Arizona State,@ Kansas State,,,,
Big 12,Houston,BYE,Stephen F. Austin, @ Rice,Colorado,BYE,@ Oregon State,Texas Tech,@ Oklahoma State,Arizona,@ Arizona State,West Virginia,@ UCF,BYE,TCU,@ Baylor,,,,
Big 12,Iowa State,vs Kansas State,South Dakota,Iowa,@ Arkansas State,BYE,Arizona,@ Cincinnati,@ Colorado,BYE,BYU,Arizona State,@ TCU,BYE,Kansas,@ Oklahoma State,,,,
Big 12,Kansas,Fresno State,Wagner,@ Missouri,BYE,West Virginia,Cincinnati,@ UCF,@ Texas Tech,BYE,Kansas State,Oklahoma State,@ Arizona,BYE,@ Iowa State,Utah,,,,
Big 12,Kansas State,vs Iowa State,North Dakota,Army,@ Arizona,BYE,UCF,@ Baylor,TCU,BYE,@ Kansas,Texas Tech,BYE,@ Oklahoma State,@ Utah,Colorado,,,,
Big 12,Oklahoma State,BYE,UT Martin,@ Oregon,BYE,Tulsa,Baylor,@ Arizona,Houston,Cincinnati,@ Texas Tech,@ Kansas,BYE,Kansas State,@ UCF,Iowa State,,,,
Big 12,TCU,BYE,@ North Carolina,BYE,Abilene Christian,SMU,@ Arizona State,Colorado,@ Kansas State,Baylor,@ West Virginia,BYE,Iowa State,@ BYU,@ Houston,Cincinnati,,,,
Big 12,Texas Tech,BYE,Arkansas Pine Bluff,Kent State,Oregon State,@ Utah,BYE,@ Houston,Kansas,@ Arizona State,Oklahoma State,@ Kansas State,BYU,UCF,BYE,@ West Virginia,,,,
Big 12,UCF,BYE,Jacksonville State,North Carolina A&T,BYE,North Carolina,@ Kansas State,Kansas,@ Cincinnati,West Virginia,BYE,@ Baylor,Houston,@ Texas Tech,Oklahoma State,@ BYU,,,,
Big 12,Utah,BYE,@ UCLA,Cal Poly,@ Wyoming,Texas Tech,@ West Virginia,BYE,Arizona State,@ BYU,Colorado,Cincinnati,BYE,@ Baylor,Kansas State,@ Kansas,,,,
Big 12,West Virginia,BYE,Robert Morris,@ Ohio,Pitt,@ Kansas,Utah,@ BYU,BYE,@ UCF,TCU,@ Houston,Colorado,@ Arizona State,BYE,Texas Tech,,,,
Big Ten,Illinois,BYE,Western Illinois,@ Duke,Western Michigan,@ Indiana,USC,@ Purdue,Ohio State,BYE,@ Washington,Rutgers,BYE,Maryland,@ Wisconsin,Northwestern,"Big Ten Championship Game          8pm ET FOX               Indianapolis, IN",,,
Big Ten,Indiana,BYE,Old Dominion,Kennesaw State,Indiana State,Illinois,@ Iowa,BYE,@ Oregon,Michigan State,UCLA,@ Maryland,@ Penn State,Wisconsin,BYE,@ Purdue,,,,
Big Ten,Iowa,BYE,Albany,@ Iowa State,UMass,@ Rutgers,Indiana,BYE,@ Wisconsin,Penn State,Minnesota,BYE,Oregon,@ USC,Michigan State,@ Nebraska,,,,
Big Ten,Maryland,BYE,Florida Atlantic,Northern Illinois,Towson,@ Wisconsin,BYE,Washington,Nebraska,@ UCLA,BYE,Indiana,@ Rutgers,@ Illinois,Michigan,vs Michigan State,,,,
